R,G,B,Clear,Lux,Color_Temp_K
85,91,70,6104,1561,4949
85,91,70,6092,1557,4943
85,91,70,6090,1557,4943
85,91,70,6095,1559,4940
85,91,70,6087,1557,4912
86,91,70,6065,1549,4904
86,91,70,6072,1550,4906
86,91,70,6061,1548,4900
86,91,70,6062,1550,4899
85,91,70,6058,1547,4932
85,91,70,6077,1554,4906
86,91,70,6081,1555,4905
86,91,70,6066,1549,4904
86,91,70,6083,1555,4906
86,91,70,6084,1556,4907
86,91,70,6080,1555,4905
85,91,70,6088,1556,4910
86,91,70,6082,1556,4902
86,91,70,6088,1556,4908
86,91,70,6080,1555,4905
86,91,70,6072,1552,4905
85,91,70,6083,1557,4906
86,91,70,6079,1555,4901
86,91,70,6076,1553,4905
86,91,70,6083,1555,4906
