Timestamp,R,G,B,Clear,Lux,Color_Temp_K
2025-08-02 16:12:14,73,92,81,2835,701,7211
2025-08-02 16:12:15,73,92,81,2835,701,7211
2025-08-02 16:12:17,73,92,81,2835,701,7211
2025-08-02 16:12:18,73,92,81,2835,701,7211
2025-08-02 16:12:19,73,92,81,2836,701,7211
2025-08-02 16:12:20,73,92,81,2836,702,7218
2025-08-02 16:12:21,73,92,81,2843,704,7209
2025-08-02 16:12:22,73,92,81,2843,703,7226
2025-08-02 16:12:23,73,92,81,2846,705,7215
2025-08-02 16:12:25,73,92,81,2846,705,7215
2025-08-02 16:12:26,73,92,81,2846,705,7215
2025-08-02 16:12:27,73,92,81,2847,705,7215
2025-08-02 16:12:28,73,92,81,2846,705,7215
2025-08-02 16:12:29,73,92,81,2846,705,7215
2025-08-02 16:12:30,73,92,81,2846,705,7215
2025-08-02 16:12:32,73,92,81,2846,705,7215
2025-08-02 16:12:33,73,92,81,2846,705,7210
2025-08-02 16:12:34,73,92,81,2846,705,7215
2025-08-02 16:12:35,73,92,81,2846,703,7227
2025-08-02 16:12:36,73,92,81,2846,703,7227
2025-08-02 16:12:37,73,92,81,2846,705,7215
2025-08-02 16:12:38,73,92,81,2846,703,7227
2025-08-02 16:12:40,73,92,81,2846,705,7210
2025-08-02 16:12:41,73,92,81,2846,705,7210
2025-08-02 16:12:42,73,92,81,2846,705,7215
